"lat" "long" "id" "nome" "nil" "nilname"
"169" 45.4622188599169 9.17462199926376 63 "Sant'Ambrogio" 1 "DUOMO"
"170" 45.4844913771267 9.15147190695279 248 "Teodorico - Gattamelata" 67 "PORTELLO"
"171" 45.5066260467137 9.2002897337079 313 "Ca' Granda - F. Testi" 14 "NIGUARDA - CA' GRANDA"
"172" 45.4721302749771 9.18752610683441 57 "Brera" 2 "BRERA"
"173" 45.466063 9.197733 2 "San Babila" 1 "DUOMO"
"174" 45.4551073006702 9.20295417308807 141 "Caldara / Curtatone" 4 "GUASTALLA"
"175" 45.4473691688493 9.17755164206028 154 "Ascanio Sforza - Pavia" 6 "TICINESE"
"176" 45.4566068231002 9.19266790151596 72 "Cardinal Ferrari" 5 "VIGENTINA"
"177" 45.4654733219714 9.21461775898933 132 "Bronzetti - Archimede" 26 "XXII MARZO"
"178" 45.4508098285709 9.21250283718109 135 "Muratori - Umbria" 27 "PORTA ROMANA"
"179" 45.4661448841087 9.1956639289856 42 "San Pietro all'Orto" 1 "DUOMO"
"180" 45.4674334333138 9.20444548130035 96 "Donizetti \Provincia\ - RIMOSSA PROVVISORIAMENTE" 4 "GUASTALLA"
"181" 45.4553321375029 9.20820727944374 139 "Lazio - Vasari - Morosini" 26 "XXII MARZO"
"182" 45.4708154997171 9.21439379453659 126 "Modena - Castel Morrone" 21 "BUENOS AIRES - VENEZIA"
"183" 45.458282214735 9.17866341769695 95 "Resistenza Partigiana" 7 "MAGENTA - S. VITTORE"
"184" 45.4825899686547 9.14843293724971 249 "Vigliani - Scarampo" 58 "DE ANGELI - MONTE ROSA"
"185" 45.4547799215871 9.21359449625015 206 "Friuli" 26 "XXII MARZO"
"186" 45.4722976762067 9.18194442987442 4 "Lanza" 2 "BRERA"
"187" 45.4790017807546 9.20148298144341 108 "Tunisia - Cozzi" 10 "CENTRALE"
"188" 45.4570790609292 9.16801035404205 161 "Coni Zugna Solari" 50 "TORTONA"
"189" 45.4613233795961 9.18834686279297 10 "Missori" 1 "DUOMO"
"190" 45.4746619303572 9.20460104942322 27 "Porta Venezia" 3 "GIARDINI PORTA VENEZIA"
"191" 45.4601362818685 9.20764803886414 136 "Montenero - Spartaco" 26 "XXII MARZO"
"192" 45.4515963431301 9.20349597930908 22 "Medaglie D'Oro 1" 27 "PORTA ROMANA"
"193" 45.4670590986971 9.18405264616013 74 "Dante - San Tomaso" 2 "BRERA"
"194" 45.4461668642279 9.19403051739209 301 "Toscana- Leoni" 5 "VIGENTINA"
"195" 45.5268120301985 9.20934990048409 330 "Suzzani - Arezzo" 14 "NIGUARDA - CA' GRANDA"
"196" 45.4592313617415 9.18376430869102 36 "San Vito" 1 "DUOMO"
"197" 45.493106947527 9.18238973018561 257 "Valtellina - Aprica" 11 "ISOLA"
"198" 45.4487211840428 9.19041484594345 21 "Università Bocconi" 5 "VIGENTINA"
"199" 45.4487691672851 9.1972330212593 147 "Ripamonti Bellezza" 5 "VIGENTINA"
"200" 45.4522247942485 9.17957872152328 38 "XXIV Maggio" 6 "TICINESE"
"201" 45.4768511751077 9.19828310608864 32 "Manin - Bastioni" 3 "GIARDINI PORTA VENEZIA"
"202" 45.4608605837716 9.16335940361023 78 "Aquileia" 51 "WASHINGTON"
"203" 45.4675086761528 9.18142944574356 28 "San Giovanni sul Muro" 1 "DUOMO"
"204" 45.4882827664623 9.16893861298377 238 "Govone - Borgese" 70 "GHISOLFA"
"205" 45.4890804165967 9.19331431388854 195 "Pola RL" 11 "ISOLA"
"206" 45.443538894779 9.16759064202779 325 "Romolo M2" 44 "NAVIGLI"
"207" 45.4622809410085 9.21611443161964 131 "Emilia - Piceno" 26 "XXII MARZO"
"208" 45.4442500957855 9.17638421058655 155 "Naviglio Pavese - Torricelli" 6 "TICINESE"
"209" 45.4588927184585 9.16955530643463 58 "Sant'Agostino" 7 "MAGENTA - S. VITTORE"
"210" 45.4759427617077 9.20055091381073 56 "Bastioni di Porta Venezia" 3 "GIARDINI PORTA VENEZIA"
"211" 45.4760557498563 9.14373373394483 227 "Zavattari - Tempesta" 58 "DE ANGELI - MONTE ROSA"
"212" 45.5030129304825 9.17688851949606 282 "Dergano" 79 "DERGANO"
"213" 45.4750719500221 9.18679118156433 62 "Treves" 2 "BRERA"
"214" 45.4909917596509 9.18587990105152 317 "Alserio - Cola Montano" 11 "ISOLA"
"215" 45.4569577093547 9.18243460357189 97 "Molino delle Armi" 1 "DUOMO"
"216" 45.4729917276857 9.19638276100159 66 "Cavour" 3 "GIARDINI PORTA VENEZIA"
"217" 45.4863293977864 9.19692724943161 104 "M. Gioia - \Regione\" 9 "GARIBALDI REPUBBLICA"
"218" 45.494728609924 9.18501963620656 270 "Stelvio - Farini" 11 "ISOLA"
"219" 45.4718189826045 9.17345657944679 33 "Triennale" 8 "PARCO SEMPIONE"
"220" 45.4841865938856 9.21932771801949 210 "Aspromonte - Pecchio" 21 "BUENOS AIRES - VENEZIA"
"221" 45.463789678642 9.1929629445076 102 "Arcivescovado" 1 "DUOMO"
"222" 45.4482488762247 9.1861105710268 150 "Sraffa" 6 "TICINESE"
"223" 45.4664684349997 9.19299513101578 49 "Meda" 1 "DUOMO"
"224" 45.4843389152391 9.20033901929855 120 "F.Filzi" 10 "CENTRALE"
"225" 45.4498182024788 9.16759729385375 158 "Naviglio G.Valenza" 44 "NAVIGLI"
"226" 45.5141709132862 9.20579295605421 322 "Bicocca M5 - Pulci" 15 "BICOCCA"
"227" 45.4623862905834 9.2012831568718 29 "San Pietro in Gessate" 4 "GUASTALLA"
"228" 45.4907689453302 9.19381186366081 203 "Taramelli RL" 11 "ISOLA"
"229" 45.4614343747778 9.19485121965408 43 "Festa del Perdono" 1 "DUOMO"
"230" 45.4580743221279 9.20061126351357 82 "Dell'Umanitaria" 4 "GUASTALLA"
"231" 45.4669311847908 9.1915225982666 100 "Palazzo Marino" 1 "DUOMO"
"232" 45.4522492547792 9.17787149548531 48 "Gorizia 2" 44 "NAVIGLI"
"233" 45.4799184197211 9.14338241826044 226 "Lotto" 58 "DE ANGELI - MONTE ROSA"
"234" 45.4455297363669 9.1727471351624 153 "Segantini - Darwin" 44 "NAVIGLI"
"235" 45.4630672955861 9.17644590139389 5 "Università Cattolica" 1 "DUOMO"
"236" 45.4620640331331 9.18967643375254 64 "Diaz" 1 "DUOMO"
"237" 45.4658420237431 9.2000225186348 93 "Borgogna" 1 "DUOMO"
"238" 45.4524016624621 9.16502773761749 164 "Bergognone - Tortona" 50 "TORTONA"
"239" 45.4590902606207 9.18971747159958 20 "Erculea" 1 "DUOMO"
"240" 45.4643333410352 9.18364226818085 60 "Edison" 1 "DUOMO"
"241" 45.465358 9.186362 92 "Cordusio" 1 "DUOMO"
"242" 45.4725337299046 9.17932391166687 11 "Castello Acquario civico" 8 "PARCO SEMPIONE"
"243" 45.4828054810458 9.14399793153279 241 "Stuparich - Albani" 58 "DE ANGELI - MONTE ROSA"
"244" 45.5034294174545 9.18871834874153 321 "Piazza Nizza" 12 "MACIACHINI - MAGGIOLINA"
"245" 45.5023768209563 9.15268426542752 251 "Villapizzone FFSS - Lambruschini" 77 "BOVISA"
"246" 45.4704317827007 9.19757097959518 13 "Senato" 4 "GUASTALLA"
"247" 45.49452578706 9.18092390304082 307 "Piazzi - Bernina" 78 "FARINI"
"248" 45.5085913055572 9.18954983353615 315 "Ospedale Maggiore" 14 "NIGUARDA - CA' GRANDA"
